Student ID,student_name,gender,grade,school_name,reading_score,math_score,School ID,type,size,budget,Per Student Budget,Spending Ranges (Per Student)
0,Paul Bradley,M,9th,Huang High School,66,79,0,District,2917,1910635,655.00,$645-675
1,Victor Smith,M,12th,Huang High School,94,61,0,District,2917,1910635,655.00,$645-675
2,Kevin Rodriguez,M,12th,Huang High School,90,60,0,District,2917,1910635,655.00,$645-675
3,Dr. Richard Scott,M,12th,Huang High School,67,58,0,District,2917,1910635,655.00,$645-675
4,Bonnie Ray,F,9th,Huang High School,97,84,0,District,2917,1910635,655.00,$645-675
5,Bryan Miranda,M,9th,Huang High School,94,94,0,District,2917,1910635,655.00,$645-675
6,Sheena Carter,F,11th,Huang High School,82,80,0,District,2917,1910635,655.00,$645-675
7,Nicole Baker,F,12th,Huang High School,96,69,0,District,2917,1910635,655.00,$645-675
8,Michael Roth,M,10th,Huang High School,95,87,0,District,2917,1910635,655.00,$645-675
9,Matthew Greene,M,10th,Huang High School,96,84,0,District,2917,1910635,655.00,$645-675
10,Andrew Alexander,M,10th,Huang High School,90,70,0,District,2917,1910635,655.00,$645-675
11,Daniel Cooper,M,10th,Huang High School,78,77,0,District,2917,1910635,655.00,$645-675
12,Brittney Walker,F,9th,Huang High School,64,79,0,District,2917,1910635,655.00,$645-675
13,William Long,M,9th,Huang High School,71,79,0,District,2917,1910635,655.00,$645-675
14,Tammy Hebert,F,10th,Huang High School,85,67,0,District,2917,1910635,655.00,$645-675
15,Dr. Jordan Carson,M,11th,Huang High School,94,88,0,District,2917,1910635,655.00,$645-675
16,Donald Zamora,M,9th,Huang High School,88,55,0,District,2917,1910635,655.00,$645-675
17,Kimberly Santiago,F,9th,Huang High School,74,75,0,District,2917,1910635,655.00,$645-675
18,Kevin Stevens,M,9th,Huang High School,64,69,0,District,2917,1910635,655.00,$645-675
19,Brandi Lyons,F,9th,Huang High School,89,80,0,District,2917,1910635,655.00,$645-675
20,Lisa Davis,F,10th,Huang High School,91,89,0,District,2917,1910635,655.00,$645-675
21,Kristen Lopez,F,10th,Huang High School,90,77,0,District,2917,1910635,655.00,$645-675
22,Kimberly Stewart,F,11th,Huang High School,99,84,0,District,2917,1910635,655.00,$645-675
23,Christopher Parker,M,9th,Huang High School,81,68,0,District,2917,1910635,655.00,$645-675
24,Chelsea Griffith,F,11th,Huang High School,85,73,0,District,2917,1910635,655.00,$645-675
25,Cesar Morris,M,9th,Huang High School,92,70,0,District,2917,1910635,655.00,$645-675
26,Melanie Decker,F,9th,Huang High School,63,85,0,District,2917,1910635,655.00,$645-675
27,Tracey Oconnor,F,10th,Huang High School,80,58,0,District,2917,1910635,655.00,$645-675
28,Kelly James,F,11th,Huang High School,73,55,0,District,2917,1910635,655.00,$645-675
29,Nicole Brown,F,12th,Huang High School,90,88,0,District,2917,1910635,655.00,$645-675
30,Bobby Harris,M,9th,Huang High School,94,99,0,District,2917,1910635,655.00,$645-675
31,Brian Fernandez,M,10th,Huang High School,97,65,0,District,2917,1910635,655.00,$645-675
32,Candace Phelps,F,11th,Huang High School,93,90,0,District,2917,1910635,655.00,$645-675
33,Amy Gonzalez,F,12th,Huang High School,95,68,0,District,2917,1910635,655.00,$645-675
34,Steven Green,M,11th,Huang High School,65,74,0,District,2917,1910635,655.00,$645-675
35,Benjamin Carlson,M,10th,Huang High School,99,61,0,District,2917,1910635,655.00,$645-675
36,Kevin Bailey,M,10th,Huang High School,76,76,0,District,2917,1910635,655.00,$645-675
37,Jesse Newton,M,10th,Huang High School,63,66,0,District,2917,1910635,655.00,$645-675
38,Kimberly Mercado,F,12th,Huang High School,73,77,0,District,2917,1910635,655.00,$645-675
